name,type,activity_code,activity,budget,memberships,zip,registerNumber,interestPercentage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
Vitako Bundes-Arbeitsgemeinschaft der Kommunalen IT-Dienstleister e. V.,,ACT_PRIVATE_ORGA,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",980000.0,['R003404'],10117.0,R001238,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHUFA Holding AG,,ACT_ORGANIZATION,Unternehmen,880000.0,"['R003134', 'R001100', 'R004247', 'R000087', 'R001688', 'R000747', 'R002767', 'R000780', 'R002737', 'R002709', 'R001184']",65201.0,R003411,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infineon Technologies AG,,ACT_ORGANIZATION,Unternehmen,800000.0,"['R002101', 'R003809', 'R002038', 'R002221', 'R003808']",85579.0,R001801,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Springer SE,,ACT_ORGANIZATION,Unternehmen,800000.0,"['R004904', 'R002357', 'R000297', 'R002111', 'R000257', 'R002036', 'R002806', 'R000903', 'R005190', 'R001411', 'R000479', 'R002860', 'R003145', 'R003990', 'R000684', 'R001044']",10888.0,R001784,0.1538461538461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qualcomm CDMA Technologies GmbH,,ACT_ORGANIZATION,Unternehmen,760000.0,"['R000672', 'R001392', 'R001795']",81671.0,R002043,0.2068965517241379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIN Deutsches Institut für Normung e.V.,,ACT_PRIVATE_ORGA,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",760000.0,"['R001564', 'R001795']",10787.0,R000798,0.0952380952380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalia Bücher GmbH,,ACT_ORGANIZATION,Unternehmen,720000.0,"['R000479', 'R000747']",58099.0,R002230,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Parcel Service Deutschland S.à r.l. & Co. OHG,,ACT_ORGANIZATION,Unternehmen,700000.0,"['R001564', 'R002572', 'R000751', 'R001795']",41460.0,R003007,0.1538461538461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesverband Musikindustrie e.V.,,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,700000.0,"['R003675', 'R000798', 'R001795', 'R000328']",10115.0,R000912,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Inc.,,ACT_ORGANIZATION,Unternehmen,670000.0,[],,R002359,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verband der Auslandsbanken in Deutschland e.V.,,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,650000.0,['R000964'],60311.0,R002246,0.1538461538461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesverband E-Commerce und Versandhandel Deutschland e.V. (bevh),,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,650000.0,"['R001184', 'R001756']",10117.0,R000747,0.1153846153846153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco - Verband der Internetwirtschaft e.V.,,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,590000.0,[],10117.0,R002737,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Börsenverein des Deutschen Buchhandels e.V.,,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,500000.0,"['R001184', 'R001881']",60311.0,R002065,0.1538461538461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREKO Bundesverband Breitbandkommunikation e.V.,,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,490000.0,"['R001657', 'R001795']",53113.0,R002215,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporter ohne Grenzen (RSF Germany; RSF Deutschland),,ACT_PRIVATE_ORGA,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",490000.0,"['R002936', 'R001181']",10756.0,R002214,0.1666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booking.com B.V. ,,ACT_ORGANIZATION,Unternehmen,460000.0,[],,R001225,0.1785714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohde & Schwarz GmbH & Co. KG ,,ACT_ORGANIZATION,Unternehmen,450000.0,[],81671.0,R000973,0.2666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1&1 AG,,ACT_ORGANIZATION,Unternehmen,420000.0,[],56410.0,R001943,0.1923076923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wirtschaftsforum der SPD e.V.,,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,420000.0,['R000673'],10117.0,R000328,0.0851063829787234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verband der Anbieter von Telekommunikations- und Mehrwertdiensten (VATM) e.V.,,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,400000.0,"['R000328', 'R001795', 'R003404']",10117.0,R002709,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProSiebenSat.1 Media SE,,ACT_ORGANIZATION,Unternehmen,390000.0,"['R000673', 'R000613', 'R003404', 'R000328', 'R001795', 'R002884']",85774.0,R001443,0.2068965517241379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIF GmbH,,ACT_ORGANIZATION,Unternehmen,380000.0,"['R001100', 'R001891', 'R004247', 'R000087', 'R001688', 'R000747', 'R002767', 'R003630', 'R004184', 'R000780']",80807.0,R005046,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gesellschaft für musikalische Aufführungs- und mechanische Vervielfältigungsrechte (GEMA),,ACT_OTHER,,380000.0,[],10787.0,R003869,0.217391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freenet AG,,ACT_ORGANIZATION,Unternehmen,350000.0,"['R002709', 'R000672', 'R004607']",22297.0,R001607,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giesecke+Devrient GmbH,ORGANIZATION,ACT_ORGANIZATION,Unternehmen,330000.0,"['R000672', 'R004438', 'R001646', 'R002446', 'R003134', 'R002955']",81677.0,R000773,0.2105263157894736,"{'clientReferenceUrl': 'https://www.lobbyregister.bundestag.dehttps://www.lobbyregister.bundestag.de/suche/R000767', 'name': 'Giesecke+Devrient Currency Technology GmbH', 'phoneNumber': '+498941190', 'organizationEmails': ['politik_ct@gi-de.com'], 'websites': ['www.gi-de.com'], 'legalRepresentatives': [{'academicDegreeBefore': 'Dr.', 'commonFirstName': 'Wolfram', 'lastName': 'Seidemann', 'function': 'Vorsitzender der Geschäftsführung', 'phoneNumber': '+498941190', 'organizationMemberEmails': ['politik_ct@gi-de.com']}, {'commonFirstName': 'Guido', 'lastName': 'Koller', 'function': 'Mitglied der Geschäftsführung', 'phoneNumber': '+498941190', 'organizationMemberEmails': ['politik_ct@gi-de.com']}, {'commonFirstName': 'Bernd', 'lastName': 'Kümmerle', 'function': 'Mitglied der Geschäftsführung', 'phoneNumber': '+498941190', 'organizationMemberEmails': ['politik_ct@gi-de.com']}, {'commonFirstName': 'Wolfgang', 'lastName': 'Kneilmann', 'function': 'Mitglied der Geschäftsführung', 'phoneNumber': '+498941190', 'organizationMemberEmails': ['politik_ct@gi-de.com']}], 'address.type': 'NATIONAL', 'address.street': 'Prinzregentenstr.', 'address.streetNumber': '161', 'address.zipCode': '81677', 'address.city': 'München', 'address.country.code': 'DE', 'legalForm.code': 'LF_GMBH', 'legalForm.code_de': 'Gesellschaft mit beschränkter Haftung (GmbH)', 'legalForm.code_en': 'Limited liability company (GmbH)', 'legalForm.type': 'JURISTIC_PERSON'}","{'clientReferenceUrl': 'https://www.lobbyregister.bundestag.dehttps://www.lobbyregister.bundestag.de/suche/R000771', 'name': 'Giesecke+Devrient Mobile Security GmbH', 'phoneNumber': '+498941190', 'organizationEmails': ['politik_ms@gi-de.com'], 'websites': ['www.gi-de.com'], 'legalRepresentatives': [{'commonFirstName': 'Gabrielle', 'lastName': 'Bugat', 'function': 'Vorsitzende der Geschäftsführung', 'phoneNumber': '+498941190', 'organizationMemberEmails': ['politik_ms@gi-de.com']}, {'academicDegreeBefore': 'Dr.', 'commonFirstName': 'Philipp', 'lastName': 'Schulte', 'function': 'Mitglied der Geschäftsführung', 'phoneNumber': '+498941190', 'organizationMemberEmails': ['politik_ms@gi-de.com']}, {'commonFirstName': 'Jan', 'lastName': 'Bock', 'function': 'Mitglied der Geschäftsführung', 'phoneNumber': '+498941190', 'organizationMemberEmails': ['politik_ms@gi-de.com']}, {'commonFirstName': 'Florian', 'lastName': 'Baumgartner', 'function': 'Mitglied der Geschäftsführung, CFO', 'phoneNumber': '+498941190', 'organizationMemberEmails': ['politik_ms@gi-de.com']}], 'address.type': 'NATIONAL', 'address.street': 'Prinzregentenstr.', 'address.streetNumber': '161', 'address.zipCode': '81677', 'address.city': 'München', 'address.country.code': 'DE', 'legalForm.code': 'LF_GMBH', 'legalForm.code_de': 'Gesellschaft mit beschränkter Haftung (GmbH)', 'legalForm.code_en': 'Limited liability company (GmbH)', 'legalForm.type': 'JURISTIC_PERSON'}","{'clientReferenceUrl': 'https://www.lobbyregister.bundestag.dehttps://www.lobbyregister.bundestag.de/suche/R000770', 'name': 'Veridos GmbH', 'phoneNumber': '+493025899840', 'organizationEmails': ['info@veridos.com'], 'websites': ['www.veridos.com'], 'legalRepresentatives': [{'commonFirstName': 'Marc-Julian', 'lastName': 'Siewert', 'function': 'Vorsitzender der Geschäftsführung, CEO', 'phoneNumber': '+493025899840', 'organizationMemberEmails': ['info@veridos.com']}, {'academicDegreeBefore': 'Dr.', 'commonFirstName': 'Christian', 'lastName': 'Thywissen', 'function': 'CFO', 'phoneNumber': '+493025899840', 'organizationMemberEmails': ['info@veridos.com']}, {'commonFirstName': 'Tobias', 'lastName': 'Nüßle', 'function': 'COO', 'phoneNumber': '+493025899840', 'organizationMemberEmails': ['info@veridos.com']}], 'address.type': 'NATIONAL', 'address.street': 'Oranienstr.', 'address.streetNumber': '91', 'address.zipCode': '10969', 'address.city': 'Berlin', 'address.country.code': 'DE', 'legalForm.code': 'LF_GMBH', 'legalForm.code_de': 'Gesellschaft mit beschränkter Haftung (GmbH)', 'legalForm.code_en': 'Limited liability company (GmbH)', 'legalForm.type': 'JURISTIC_PERSON'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGA Der Breitbandverband e.V.,,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,330000.0,[],50672.0,R002231,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thorn,,ACT_NONPROFIT_ORGA,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",330000.0,[],,R003474,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTL Deutschland,,ACT_ORGANIZATION,Unternehmen,320000.0,"['R004363', 'R005270', 'R005270', 'R002709', 'R001119']",50679.0,R001391,0.1538461538461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
innn.it e.V: ,,ACT_NONPROFIT_ORGA,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",320000.0,[],10117.0,R001798,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell GmbH (Dell Technologies) ,,ACT_ORGANIZATION,Unternehmen,320000.0,"['R000672', 'R002525']",60549.0,R001439,0.2068965517241379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warner Bros. Entertainment GmbH,,ACT_ORGANIZATION,Unternehmen,300000.0,"['R001119', 'R003714', 'R000649']",22083.0,R005433,0.2083333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Technologies EU,,ACT_ORGANIZATION,Unternehmen,300000.0,[],,R003319,0.1666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grüner Wirtschaftsdialog e.V.,,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,300000.0,[],10117.0,R001392,0.0614035087719298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTS Deutschland GmbH,,ACT_ORGANIZATION,Unternehmen,300000.0,[],71254.0,R005759,0.2666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertelsmann SE & Co. KGaA,,ACT_ORGANIZATION,Unternehmen,290000.0,"['R004008', 'R001955', 'R002145', 'R004496', 'R002278', 'R002884']",33311.0,R002001,0.1714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Deutschland GmbH,,ACT_ORGANIZATION,Unternehmen,290000.0,"['R000672', 'R002357']",71034.0,R001180,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verband der Filmverleiher e.V.,,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,290000.0,['R002509'],10178.0,R001930,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXP Semiconductors Germany GmbH,,ACT_ORGANIZATION,Unternehmen,290000.0,"['R001795', 'R002278', 'R000595', 'R001528', 'R002525']",22529.0,R001576,0.1818181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon Deutschland GmbH,,ACT_ORGANIZATION,Unternehmen,280000.0,['R000798'],47807.0,R002746,0.2777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IServ GmbH,,ACT_ORGANIZATION,Unternehmen,270000.0,"['R000672', 'R001208', 'R002225']",38104.0,R003939,0.2941176470588235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujitsu Technology Solutions,,ACT_ORGANIZATION,Unternehmen,270000.0,"['R003404', 'R000684', 'R001208']",80807.0,R003476,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
